sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
325 , 2023-07-05 11:30:05.806450 , 0 , 0 , 34 , 45
326 , 2023-07-05 11:30:07.378448 , 0 , 0 , 34 , 45
327 , 2023-07-05 11:30:08.926933 , 0 , 1 , 34 , 46
328 , 2023-07-05 11:30:10.494491 , 0 , 0 , 34 , 46
329 , 2023-07-05 11:30:12.049909 , 0 , 0 , 34 , 46
330 , 2023-07-05 11:30:13.625141 , 0 , 0 , 34 , 46
331 , 2023-07-05 11:30:15.207279 , 0 , 1 , 34 , 47
332 , 2023-07-05 11:30:16.799522 , 0 , 0 , 34 , 47
333 , 2023-07-05 11:30:18.377581 , 0 , 0 , 34 , 47
334 , 2023-07-05 11:30:19.948324 , 0 , 0 , 34 , 47
335 , 2023-07-05 11:30:21.540724 , 0 , 0 , 34 , 47
336 , 2023-07-05 11:30:23.116156 , 0 , 0 , 34 , 47
337 , 2023-07-05 11:30:24.714366 , 0 , 0 , 34 , 47
338 , 2023-07-05 11:30:26.406971 , 0 , 0 , 34 , 47
339 , 2023-07-05 11:30:28.058812 , 0 , 0 , 34 , 47
340 , 2023-07-05 11:30:29.705395 , 0 , 0 , 34 , 47
341 , 2023-07-05 11:30:31.335048 , 0 , 0 , 34 , 47
342 , 2023-07-05 11:30:32.916723 , 0 , 1 , 34 , 48
343 , 2023-07-05 11:30:34.525502 , 0 , 1 , 34 , 49
344 , 2023-07-05 11:30:36.163403 , 0 , 1 , 34 , 50
345 , 2023-07-05 11:30:37.821172 , 0 , 0 , 34 , 50
346 , 2023-07-05 11:30:39.484901 , 0 , 0 , 34 , 50
347 , 2023-07-05 11:30:41.312452 , 1 , 0 , 35 , 50
348 , 2023-07-05 11:30:42.981557 , 0 , 1 , 35 , 51
349 , 2023-07-05 11:30:44.630021 , 0 , 1 , 35 , 52
350 , 2023-07-05 11:30:46.282979 , 1 , 0 , 36 , 52
351 , 2023-07-05 11:30:47.925346 , 0 , 0 , 36 , 52
352 , 2023-07-05 11:30:49.555691 , 2 , 0 , 38 , 52
353 , 2023-07-05 11:30:51.174398 , 0 , 0 , 38 , 52
354 , 2023-07-05 11:30:52.807222 , 0 , 0 , 38 , 52
355 , 2023-07-05 11:30:54.403237 , 0 , 0 , 38 , 52
356 , 2023-07-05 11:30:56.016590 , 0 , 0 , 38 , 52
357 , 2023-07-05 11:30:57.615039 , 0 , 0 , 38 , 52
358 , 2023-07-05 11:30:59.226866 , 1 , 0 , 39 , 52
359 , 2023-07-05 11:31:00.808574 , 0 , 0 , 39 , 52
360 , 2023-07-05 11:31:02.367009 , 0 , 0 , 39 , 52
361 , 2023-07-05 11:31:03.943807 , 0 , 0 , 39 , 52
362 , 2023-07-05 11:31:05.514815 , 0 , 0 , 39 , 52
363 , 2023-07-05 11:31:07.070942 , 0 , 0 , 39 , 52
364 , 2023-07-05 11:31:08.650781 , 0 , 0 , 39 , 52
365 , 2023-07-05 11:31:10.255372 , 0 , 0 , 39 , 52
366 , 2023-07-05 11:31:11.872199 , 0 , 0 , 39 , 52
367 , 2023-07-05 11:31:13.473724 , 1 , 0 , 40 , 52
368 , 2023-07-05 11:31:15.082179 , 1 , 1 , 41 , 53
369 , 2023-07-05 11:31:16.671603 , 0 , 0 , 41 , 53
370 , 2023-07-05 11:31:18.696445 , 0 , 0 , 41 , 53
371 , 2023-07-05 11:31:20.317850 , 0 , 0 , 41 , 53
372 , 2023-07-05 11:31:21.957251 , 0 , 1 , 41 , 54
373 , 2023-07-05 11:31:23.613016 , 0 , 0 , 41 , 54
374 , 2023-07-05 11:31:25.893775 , 0 , 1 , 41 , 55
375 , 2023-07-05 11:31:27.571761 , 0 , 1 , 41 , 56
376 , 2023-07-05 11:31:29.266428 , 0 , 0 , 41 , 56
377 , 2023-07-05 11:31:30.973445 , 0 , 0 , 41 , 56
378 , 2023-07-05 11:31:32.714481 , 0 , 0 , 41 , 56
379 , 2023-07-05 11:31:34.417954 , 0 , 0 , 41 , 56
380 , 2023-07-05 11:31:36.075123 , 0 , 0 , 41 , 56
381 , 2023-07-05 11:31:37.728000 , 0 , 0 , 41 , 56
382 , 2023-07-05 11:31:39.381100 , 0 , 0 , 41 , 56
383 , 2023-07-05 11:31:41.029510 , 0 , 0 , 41 , 56
384 , 2023-07-05 11:31:42.675380 , 0 , 1 , 41 , 57
