sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
171 , 2023-07-05 10:11:31.896693 , 0 , 0 , 19 , 22
172 , 2023-07-05 10:11:36.502191 , 0 , 0 , 19 , 22
173 , 2023-07-05 10:11:43.637072 , 0 , 0 , 19 , 22
174 , 2023-07-05 10:11:48.243613 , 0 , 0 , 19 , 22
175 , 2023-07-05 10:11:52.486592 , 0 , 0 , 19 , 22
176 , 2023-07-05 10:11:56.901418 , 1 , 0 , 20 , 22
177 , 2023-07-05 10:12:01.453670 , 0 , 0 , 20 , 22
178 , 2023-07-05 10:12:05.973397 , 0 , 0 , 20 , 22
179 , 2023-07-05 10:12:10.228049 , 0 , 0 , 20 , 22
180 , 2023-07-05 10:12:14.592691 , 1 , 0 , 21 , 22
181 , 2023-07-05 10:12:19.204157 , 0 , 0 , 21 , 22
182 , 2023-07-05 10:12:23.921525 , 0 , 0 , 21 , 22
183 , 2023-07-05 10:12:30.157861 , 0 , 0 , 21 , 22
184 , 2023-07-05 10:12:34.779850 , 0 , 0 , 21 , 22
185 , 2023-07-05 10:12:39.169607 , 0 , 0 , 21 , 22
186 , 2023-07-05 10:12:43.975584 , 0 , 0 , 21 , 22
187 , 2023-07-05 10:12:49.418531 , 1 , 0 , 22 , 22
188 , 2023-07-05 10:12:54.267129 , 0 , 0 , 22 , 22
189 , 2023-07-05 10:12:58.608823 , 0 , 0 , 22 , 22
190 , 2023-07-05 10:13:02.894726 , 0 , 0 , 22 , 22
191 , 2023-07-05 10:13:07.290490 , 0 , 0 , 22 , 22
192 , 2023-07-05 10:13:11.669191 , 0 , 0 , 22 , 22
193 , 2023-07-05 10:13:16.050364 , 0 , 1 , 22 , 23
194 , 2023-07-05 10:13:20.324452 , 0 , 0 , 22 , 23
195 , 2023-07-05 10:13:26.110368 , 0 , 0 , 22 , 23
196 , 2023-07-05 10:13:30.382584 , 0 , 0 , 22 , 23
197 , 2023-07-05 10:13:34.596210 , 0 , 1 , 22 , 24
