sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
341 , 2023-07-25 12:57:29.409313 , 0 , 0 , 24 , 11
342 , 2023-07-25 12:57:33.112495 , 0 , 0 , 24 , 11
343 , 2023-07-25 12:57:36.890870 , 0 , 0 , 24 , 11
344 , 2023-07-25 12:57:40.556678 , 0 , 0 , 24 , 11
345 , 2023-07-25 12:57:44.245324 , 0 , 0 , 24 , 11
346 , 2023-07-25 12:57:47.944268 , 0 , 0 , 24 , 11
347 , 2023-07-25 12:57:51.650539 , 0 , 0 , 24 , 11
348 , 2023-07-25 12:57:55.357192 , 0 , 0 , 24 , 11
349 , 2023-07-25 12:57:59.096072 , 0 , 0 , 24 , 11
350 , 2023-07-25 12:58:02.765656 , 0 , 0 , 24 , 11
351 , 2023-07-25 12:58:06.456283 , 0 , 0 , 24 , 11
352 , 2023-07-25 12:58:10.125791 , 0 , 0 , 24 , 11
353 , 2023-07-25 12:58:13.794109 , 0 , 0 , 24 , 11
354 , 2023-07-25 12:58:17.461341 , 0 , 0 , 24 , 11
355 , 2023-07-25 12:58:21.129961 , 0 , 0 , 24 , 11
356 , 2023-07-25 12:58:24.814824 , 0 , 0 , 24 , 11
357 , 2023-07-25 12:58:28.523933 , 0 , 0 , 24 , 11
358 , 2023-07-25 12:58:32.225935 , 0 , 0 , 24 , 11
359 , 2023-07-25 12:58:35.917920 , 0 , 0 , 24 , 11
360 , 2023-07-25 12:58:39.704492 , 0 , 0 , 24 , 11
361 , 2023-07-25 12:58:43.402614 , 0 , 0 , 24 , 11
362 , 2023-07-25 12:58:47.092338 , 0 , 0 , 24 , 11
363 , 2023-07-25 12:58:50.825406 , 0 , 0 , 24 , 11
364 , 2023-07-25 12:58:54.541662 , 0 , 0 , 24 , 11
365 , 2023-07-25 12:58:58.218018 , 0 , 0 , 24 , 11
366 , 2023-07-25 12:59:01.880519 , 0 , 1 , 24 , 12
367 , 2023-07-25 12:59:05.540773 , 0 , 0 , 24 , 12
368 , 2023-07-25 12:59:09.228414 , 0 , 0 , 24 , 12
369 , 2023-07-25 12:59:12.894881 , 0 , 0 , 24 , 12
370 , 2023-07-25 12:59:16.587538 , 0 , 0 , 24 , 12
371 , 2023-07-25 12:59:20.251800 , 0 , 0 , 24 , 12
372 , 2023-07-25 12:59:23.898641 , 0 , 0 , 24 , 12
373 , 2023-07-25 12:59:27.564883 , 0 , 0 , 24 , 12
374 , 2023-07-25 12:59:31.242671 , 0 , 0 , 24 , 12
375 , 2023-07-25 12:59:35.044074 , 0 , 0 , 24 , 12
376 , 2023-07-25 12:59:38.760211 , 0 , 0 , 24 , 12
377 , 2023-07-25 12:59:42.440854 , 0 , 0 , 24 , 12
378 , 2023-07-25 12:59:46.129069 , 0 , 0 , 24 , 12
379 , 2023-07-25 12:59:49.818118 , 0 , 0 , 24 , 12
380 , 2023-07-25 12:59:53.503816 , 0 , 0 , 24 , 12
381 , 2023-07-25 12:59:57.209524 , 0 , 0 , 24 , 12
382 , 2023-07-25 13:00:00.936009 , 0 , 0 , 24 , 12
383 , 2023-07-25 13:00:05.023281 , 0 , 0 , 24 , 12
384 , 2023-07-25 13:00:08.759594 , 0 , 0 , 24 , 12
